Run,Evt,vertexX,vertexY,vertexZ,selected,selected_cheated_2d,selected_cheated_2d_vtx,selected_cheated_2d_vtx_3d,selected_cheated_2d_vtx_3d_mva
1085,30,277.8150329589844,-43.06911849975586,496.18646240234375,0.0,0.0,0.0,0.0,0.0
1088,29,209.6063232421875,-69.58736419677734,137.75442504882812,0.0,0.0,0.0,0.0,0.0
1089,30,170.3134307861328,-32.1789436340332,-352.3149719238281,1.0,1.0,1.0,1.0,1.0
109,3,288.62652587890625,-44.05305480957031,32.026336669921875,0.0,1.0,1.0,0.0,0.0
1092,4,162.95077514648438,9.935811042785645,703.23828125,0.0,0.0,0.0,0.0,0.0
1093,16,101.20266723632812,72.27410888671875,720.8619384765625,1.0,1.0,1.0,1.0,1.0
1093,23,219.16796875,-15.090871810913086,612.1531372070312,1.0,1.0,1.0,1.0,1.0
1094,34,114.98054504394531,52.64814758300781,-339.4861145019531,0.0,0.0,0.0,0.0,0.0
1095,33,94.61224365234375,82.92499542236328,4.2524638175964355,0.0,0.0,0.0,0.0,0.0
1096,3,197.67626953125,84.85150146484375,-539.0857543945312,0.0,0.0,0.0,0.0,0.0
1096,21,126.7015609741211,51.997352600097656,-18.796253204345703,0.0,0.0,0.0,0.0,0.0
1097,38,183.17953491210938,8.836821556091309,-41.565853118896484,1.0,0.0,0.0,0.0,0.0
1098,5,87.3045425415039,-52.09178161621094,-136.1218719482422,0.0,0.0,0.0,0.0,0.0
1098,23,211.73956298828125,54.3606071472168,753.7013549804688,0.0,1.0,1.0,1.0,1.0
1098,39,125.77079010009766,93.91901397705078,-44.64735412597656,1.0,1.0,1.0,1.0,1.0
1098,40,239.52609252929688,-33.81748580932617,-503.75433349609375,0.0,0.0,0.0,0.0,0.0
110,8,286.62835693359375,-16.260473251342773,249.52294921875,0.0,0.0,0.0,0.0,0.0
110,27,265.21331787109375,-3.5116519927978516,527.8283081054688,0.0,1.0,1.0,1.0,1.0
1100,26,160.82876586914062,-70.03889465332031,93.99901580810547,1.0,1.0,1.0,1.0,1.0
1102,30,260.62841796875,76.8877944946289,-80.87472534179688,1.0,1.0,1.0,0.0,0.0
1104,20,254.72665405273438,51.18602752685547,-341.83929443359375,1.0,1.0,1.0,1.0,1.0
1106,17,159.8041534423828,69.01575469970703,169.94454956054688,0.0,1.0,1.0,1.0,1.0
1106,19,258.55059814453125,-18.28472137451172,20.473098754882812,0.0,1.0,1.0,0.0,0.0
1106,35,120.07281494140625,-88.38882446289062,-328.1700439453125,1.0,0.0,0.0,0.0,0.0
1106,38,133.57742309570312,-29.506940841674805,-687.0466918945312,0.0,1.0,1.0,1.0,1.0
1107,3,175.5517120361328,-72.90190124511719,-728.8884887695312,0.0,0.0,0.0,0.0,0.0
1107,25,332.1705017089844,-51.926734924316406,-665.2549438476562,1.0,1.0,1.0,1.0,1.0
1108,29,297.3980407714844,71.89157104492188,-227.70216369628906,1.0,1.0,1.0,1.0,1.0
111,18,318.311279296875,52.4858512878418,-624.9263916015625,1.0,1.0,1.0,1.0,1.0
1110,15,207.58181762695312,-61.97749328613281,-245.60108947753906,0.0,0.0,0.0,0.0,0.0
1111,37,134.60433959960938,-74.99697875976562,-767.2481689453125,1.0,1.0,1.0,1.0,1.0
1111,39,318.8059997558594,108.37508392333984,-224.1971435546875,1.0,0.0,0.0,0.0,1.0
1113,14,109.53722381591797,29.612031936645508,-419.18914794921875,1.0,1.0,1.0,1.0,1.0
1114,11,120.39204406738281,20.8328800201416,-693.0842895507812,1.0,1.0,1.0,1.0,1.0
1114,37,278.8810729980469,26.552345275878906,-406.1463317871094,0.0,1.0,1.0,1.0,1.0
1115,19,165.73439025878906,93.95655059814453,-680.5313720703125,1.0,1.0,1.0,1.0,1.0
1117,4,285.4013366699219,16.36737823486328,-501.87744140625,0.0,0.0,0.0,0.0,0.0
1119,29,221.40847778320312,-50.3742790222168,-227.37950134277344,0.0,1.0,1.0,1.0,1.0
